X,Y,OBJECTID,ACC_ID,ROAD_NO,ROAD_NAME,COMMON_ROAD_NAME,CWAY,SLK,INTERSECTION_NO,INTERSECTION_DESC,LONGITUDE,LATITUDE,CRASH_DATE,CRASH_TIME,SEVERITY,EVENT_NATURE,EVENT_TYPE,TOTAL_BIKE_INVOLVED,TOTAL_TRUCK_INVOLVED,TOTAL_HEAVY_TRUCK_INVOLVED,TOTAL_MOTOR_CYCLE_INVOLVED,TOTAL_OTHER_VEHICLES_INVOLVED,TOTAL_PEDESTRIANS_INVOLVED
115.869611,-31.938499,25054482,9797493,1300277,Beaufort St,Beaufort St,S,1.15,50626,Mary St & Beaufort St,115.869611,-31.938499,28/5/18,815,Medical,Right Angle,,0,0,0,0,2,0
115.753147,-32.073989,25078268,10026671,1180019,Douro Rd,Douro Rd,S,0.09,67890,South Tce & Douro Rd,115.753147,-32.073989,23/5/19,30,PDO Minor,Hit Object,,0,0,0,0,1,0
115.896142,-31.985246,25016013,9513698,1290077,Kent St,Kent St,S,0.63,51029,Kent St & Berwick St,115.896142,-31.985246,20/3/17,1845,Hospital,Right Turn Thru,,0,0,0,0,2,0
115.701672,-31.64835,25080273,10060020,1104716,Kingsbridge Bvd,Kingsbridge Bvd,S,0.5,127232,Kingsbridge Bvd & Shelford Bvd & Camborne Pwy,115.701672,-31.64835,11/7/19,2040,PDO Minor,Right Angle,,0,0,0,0,1,0
115.760826,-31.819435,25018832,9550824,H029,Marmion Av,Marmion Av,L,6.42,60427,Marmion Av & Gilbert Rd,115.760826,-31.819435,29/6/17,807,Hospital,Right Angle,,0,0,0,0,2,0
115.762437,-31.876214,25037655,9675485,H036,West Coast Hwy,West Coast Hwy,L,20.03,55932,West Coast Hwy & Elliott Rd,115.762437,-31.876214,6/12/17,1420,PDO Major,Right Angle,,0,0,0,0,2,0
115.872378,-31.957321,25065381,9907272,1240130,Bennett St,Bennett St,S,0.46,51276,Goderich St & Bennett St,115.872378,-31.957321,15/11/18,915,PDO Major,Right Angle,,0,0,0,0,2,0
115.767555,-31.752378,25002048,9364357,1311665,Joondalup Dr,Joondalup Dr,L,3.05,63196,Joondalup Dr & Hodges Dr & Grand Bvd,115.767555,-31.752378,22/6/16,1400,PDO Major,Rear End,,0,0,0,0,2,0
115.93329,-31.937188,25087308,10085023,H005,Great Eastern Hwy,Great Eastern Hwy,L,5.59,14291,Great Eastern Hwy & Epsom Av,115.93329,-31.937188,25/8/19,815,PDO Minor,Rear End,,0,0,0,0,2,0
115.835878,-32.087607,25020706,9523507,1030563,Bibra Dr,Bibra Dr,S,0.94,42404,Parkway Rd & Bibra Dr,115.835878,-32.087607,26/3/17,605,PDO Major,Hit Object,,0,0,0,0,1,0
115.995304,-32.078033,25023203,9588412,1040010,Dorothy St,Dorothy St,S,0.68,43844,Dorothy St & Eudoria St,115.995304,-32.078033,21/6/17,740,PDO Minor,Right Angle,,0,0,0,0,2,0
115.735824,-32.279446,25022450,9526796,1070005,Read St,Read St,L,0.16,69777,Read St & Commodore Dr,115.735824,-32.279446,13/3/17,1300,PDO Major,Right Turn Thru,,0,0,0,0,2,0
115.819467,-31.914071,25032024,9616029,1250061,Harborne St,Harborne St,L,0.0,55331,Harborne St & Frobisher St & Scarborough Beach Rd,115.819467,-31.914071,13/7/17,1630,PDO Major,Right Angle,,0,0,0,0,2,0
115.891531,-31.917042,25082315,10025797,1120002,Beaufort St,Beaufort St,L,0.07,37733,Beaufort St & Salisbury St,115.891531,-31.917042,22/5/19,1800,PDO Major,Non Collision,,0,0,0,1,1,0
115.71463,-31.666915,25058287,9843237,1103226,Cam Ct,Cam Ct,S,0.0,70601,Cam Ct & Coldstream Cct,115.71463,-31.666915,12/8/18,1140,Medical,Right Turn Thru,,0,0,0,0,1,0
115.98671,-31.863683,25108879,10185364,H021,Reid Hwy,Reid Hwy,L,21.23,77668,Reid Hwy & West Swan Rd,115.98671,-31.863683,30/1/20,1345,PDO Major,Rear End,,0,0,0,0,2,0
115.873238,-31.94791,25050829,9809474,1300250,Edward St,Edward St,S,0.0,51435,Edward St & Claisebrook Rd & Somerville St,115.873238,-31.94791,7/6/18,920,PDO Major,Right Turn Thru,,0,0,0,0,2,0
115.804121,-31.933422,24982360,10143960,1280306,Selby St,Selby St,S,1.6,50806,Herdsman Pde & Selby St,115.804121,-31.933422,16/11/19,1635,PDO Minor,Right Angle,,0,0,0,0,2,0
115.600328,-31.508317,25116531,10240780,1105756,Abrolhos Cl,Abrolhos Cl,S,0.17,165622,Abrolhos Cl & Elford L,115.600328,-31.508317,25/5/20,1200,PDO Major,Right Angle,Involving Parking,0,1,0,0,1,0
115.688699,-31.619194,24987552,9257243,1100002,Marmion Av,Marmion Av,L,11.12,208823,Marmion Av & Graceful Bvd,115.688699,-31.619194,24/2/16,1820,Medical,Rear End,,0,0,0,0,3,0
115.866233,-31.955849,25107045,10170737,1240113,Victoria Sq,Victoria Sq,S,0.12,51268,Victoria Sq & Victoria Av,115.866233,-31.955849,1/1/20,1535,PDO Major,Right Angle,,0,0,0,0,2,0
115.761863,-32.325759,24996740,9352459,1070003,Safety Bay Rd,Safety Bay Rd,L,8.74,52704,Safety Bay Rd & The Avenue,115.761863,-32.325759,30/6/16,1450,Medical,Right Angle,,0,0,0,0,1,0
115.872152,-32.042658,24990124,9253047,H012,Leach Hwy,Leach Hwy,L,10.47,3512,Leach Hwy & Karel Av,115.872152,-32.042658,12/2/16,1458,Medical,Sideswipe Same Dirn,,0,0,0,0,3,0
115.962473,-31.795593,25098553,10324149,1090549,Gnangara Rd,Gnangara Rd,L,3.56,59366,Gnangara Rd & Starflower Rd & Pinaster Pde,115.962473,-31.795593,13/11/16,930,Hospital,Right Angle,,1,0,0,0,1,0
115.705803,-31.661931,25051733,9821349,1100002,Marmion Av,Marmion Av,L,5.92,76193,Marmion Av & Pitcairn Ent,115.705803,-31.661931,29/6/18,1140,PDO Minor,Rear End,,0,0,0,0,2,0
115.912986,-31.993822,25065972,9908523,H001,Albany Hwy,Albany Hwy,S,4.9,4122,Albany Hwy & Welshpool Rd & Albany Hwy,115.912986,-31.993822,19/11/18,2215,PDO Minor,Sideswipe Same Dirn,Involving Overtaking,0,0,0,0,2,0
117.86071,-35.022106,25080949,10033092,H040,Albany Port Rd,Princess Royal Dr,S,2.18,359,Albany Port Rd & Frenchman Bay Rd,117.86071,-35.022106,15/5/19,1150,PDO Major,Hit Object,,0,0,0,0,1,0
115.732537,-32.531799,25041807,9723717,2120137,Anstruther Rd,Anstruther Rd,S,1.39,34702,Anstruther Rd & Elizabeth St,115.732537,-32.531799,25/1/18,1240,PDO Major,Rear End,,0,0,0,0,1,0
115.828724,-31.914448,25118200,10273944,1300288,Scarborough Beach Rd,Scarborough Beach Rd,L,2.72,50851,Scarborough Beach Rd & Green St,115.828724,-31.914448,20/7/20,1840,PDO Minor,Right Angle,,0,0,0,0,2,0
115.997043,-32.008137,25107113,10181205,H017,Tonkin Hwy,Tonkin Hwy,L,56.02,4547,Tonkin Hwy & Rivervale Wattle Grove Link & Welshpool Rd East,115.997043,-32.008137,20/1/20,820,PDO Minor,Rear End,,0,0,0,0,2,0
115.98671,-31.863683,25101721,10135485,H021,Reid Hwy,Reid Hwy,L,21.23,77668,Reid Hwy & West Swan Rd,115.98671,-31.863683,15/11/19,1219,PDO Major,Right Turn Thru,,0,0,0,0,2,0
115.805718,-32.105025,25043601,9736821,1030007,Spearwood Av,Spearwood Av,L,4.02,41433,Spearwood Av & Sudlow Rd,115.805718,-32.105025,6/2/18,1330,PDO Major,Right Angle,,0,1,0,0,1,0
117.883524,-35.023892,25088170,10210088,3021001,York St,York St,L,0.32,19070,York St & Grey St,117.883524,-35.023892,15/3/20,1920,PDO Minor,Rear End,,0,0,0,0,2,0
121.463336,-30.747539,25044168,9737827,6052004,Wittenoom St,Wittenoom St,S,0.85,73789,Wittenoom St & Chapple St,121.463336,-30.747539,10/2/18,100,PDO Major,Rear End,,0,0,0,0,1,0
115.856176,-32.046611,25096242,10358181,H012,Leach Hwy,Leach Hwy,L,8.78,4449,Leach Hwy & Kwinana Fwy (Southbound) off to Leach Hwy & Bullcreek Station Bus Access,115.856176,-32.046611,7/11/20,1455,PDO Major,Right Angle,,0,0,0,0,2,0
115.766008,-32.059866,25006138,9429441,1180087,Montreal St,Montreal St,S,0.18,43439,Montreal St & Watkins St,115.766008,-32.059866,18/9/16,1730,PDO Major,Right Angle,,0,0,0,0,2,0
115.878696,-31.863803,25028416,9627608,1090698,Alexander Dr,Alexander Dr,S,0.47,59511,Truganina Rd & Alexander Dr & Alexander Dr,115.878696,-31.863803,1/8/17,1100,PDO Minor,Rear End,Involving Overtaking,0,0,0,0,2,0
115.858562,-31.935601,25035294,9661042,1300280,Fitzgerald St,Fitzgerald St,S,0.94,50725,Chelmsford Rd & Fitzgerald St,115.858562,-31.935601,16/10/17,1610,PDO Minor,Right Angle,,0,0,0,0,2,0
115.777154,-31.98041,25039960,9670972,1150002,Stirling Rd,Stirling Rd,S,0.44,41179,Stirling Rd & Shenton Rd,115.777154,-31.98041,1/11/17,1605,PDO Major,Rear End,,0,0,0,0,2,0
115.832945,-31.947131,24987051,9266149,1270001,Hay St,Hay St,S,0.41,58617,Hay St & Coghlan Rd,115.832945,-31.947131,12/2/16,1730,PDO Major,Right Angle,,0,0,0,0,2,0
115.924831,-31.875531,25026205,9565838,1120005,Beechboro Rd North,Beechboro Rd North,L,2.54,37801,Beechboro Rd North & Benara Rd,115.924831,-31.875531,3/4/17,830,PDO Major,Rear End,,0,0,0,0,2,0
115.848476,-32.027013,25079602,10049213,1190018,Reynolds Rd,Reynolds Rd,S,1.05,47219,Reynolds Rd & Central Av,115.848476,-32.027013,25/6/19,2000,Medical,Right Angle,,0,0,0,0,2,0
115.834692,-31.877343,24999169,9330391,1250130,Ravenswood Dr,Ravenswood Dr,S,2.26,56073,Ravenswood Dr & Berkeley Ct,115.834692,-31.877343,16/5/16,1605,PDO Major,Right Angle,,0,0,0,0,1,0
115.659837,-32.583861,25080113,10040784,M074,Lakelands Lake Clifton,Old Coast Rd,L,18.68,4083,Lakelands Lake Clifton & Mercedes Av & Coco Dr,115.659837,-32.583861,12/6/19,1100,PDO Major,Rear End,,0,0,0,0,2,0
115.904674,-32.125514,24997150,9335384,1010082,Warton Rd,Warton Rd,L,1.41,70820,Warton Rd & Mason Rd & Jandakot Rd & Warton Rd,115.904674,-32.125514,18/5/16,1835,PDO Minor,Sideswipe Same Dirn,,0,0,0,0,1,0
115.783452,-31.774888,25070225,9948595,1311288,Ocean Reef Rd,Ocean Reef Rd,L,1.26,62676,Ocean Reef Rd & Joondalup Dr,115.783452,-31.774888,24/1/19,1135,PDO Major,Rear End,,0,0,0,0,2,0
115.864434,-32.126921,25024699,9590349,H023,Armadale Rd,Armadale Rd,L,15.41,14132,Armadale Rd & Solomon Rd,115.864434,-32.126921,27/6/17,1040,PDO Minor,Right Angle,,0,1,0,0,1,0
115.893434,-32.038743,25057512,9851512,1140061,Vahland Av,Vahland Av,L,3.34,39811,Vahland Av & High Rd,115.893434,-32.038743,21/9/18,1130,PDO Major,Rear End,,0,0,0,0,1,0
